2019-10-04 20:32:57.940 [qtp1272093185-29] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-changelanguage
2019-10-04 20:33:00.098 [qtp1272093185-24] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-changelanguage
2019-10-04 20:33:02.910 [qtp1272093185-26] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-changelanguage
2019-10-04 20:33:05.097 [qtp1272093185-25] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-toregistration
2019-10-04 20:33:14.572 [qtp1272093185-27] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-registration
2019-10-04 20:33:29.278 [qtp1272093185-21] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-changelanguage
2019-10-04 20:33:30.923 [qtp1272093185-27] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-changelanguage
2019-10-04 20:33:38.116 [qtp1272093185-26] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 20:34:07.852 [qtp1272093185-22] INFO  by.training.final.ServletLogger - username-Bob, role-sec, command-togglepair
2019-10-04 20:34:31.767 [qtp1272093185-29] INFO  by.training.final.ServletLogger - username-Bob, role-sec, command-togglepair
2019-10-04 20:34:54.170 [qtp1272093185-29] INFO  by.training.final.ServletLogger - username-Bob, role-sec, command-logout
2019-10-04 20:35:01.417 [qtp1272093185-24] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 20:37:22.555 [qtp1653564461-16] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 20:38:16.699 [qtp1653564461-30] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:38:18.510 [qtp1653564461-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:38:20.155 [qtp1653564461-33] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:38:25.267 [qtp1653564461-18] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-04 20:38:49.738 [qtp1653564461-30] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-04 20:39:13.696 [qtp1653564461-33] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:15.393 [qtp1653564461-24] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:16.977 [qtp1653564461-30] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:18.538 [qtp1653564461-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:27.960 [qtp1653564461-24] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-04 20:39:32.285 [qtp1653564461-32] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:33.826 [qtp1653564461-21] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:35.274 [qtp1653564461-16] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-04 20:39:37.199 [qtp1653564461-20] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 20:39:38.180 [qtp1653564461-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-04 20:39:39.800 [qtp1653564461-18] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-04 20:39:40.895 [qtp1653564461-33] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-04 20:39:45.921 [qtp1653564461-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-04 21:45:31.349 [qtp1726301214-34] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 21:46:49.855 [qtp1726301214-34] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-04 21:46:54.367 [qtp1726301214-34] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-04 21:48:55.380 [qtp431942497-22] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 21:57:09.347 [qtp1097069829-21] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:32:59.819 [qtp431942497-21] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:35:23.013 [qtp431942497-30] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:35:55.465 [qtp431942497-25] INFO  by.training.final.ServletLogger - username-Bob, role-sec, command-logout
2019-10-04 22:35:59.532 [qtp431942497-33] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:37:15.932 [qtp58290164-22] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:39:04.290 [qtp673974417-20] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:40:04.942 [qtp673974417-23] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-logout
2019-10-04 22:40:09.147 [qtp673974417-31] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:42:05.252 [qtp1449109458-19] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:49:04.156 [qtp1039439577-16] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:51:01.089 [qtp1039439577-16] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:51:01.462 [qtp1039439577-26] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:53:53.243 [qtp1169903663-17] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 22:57:15.032 [qtp455536646-19] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-04 23:05:11.892 [qtp547643943-14] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 00:27:13.462 [qtp1418481959-27] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 00:27:20.279 [qtp1418481959-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-05 00:27:21.852 [qtp1418481959-23] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-05 00:27:25.525 [qtp1418481959-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:27:26.608 [qtp1418481959-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:27:27.866 [qtp1418481959-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:27:29.220 [qtp1418481959-32] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:27:30.034 [qtp1418481959-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:27:31.066 [qtp1418481959-16] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-05 00:27:32.956 [qtp1418481959-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-05 00:27:33.896 [qtp1418481959-24] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-05 00:27:37.424 [qtp1418481959-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-05 00:27:39.378 [qtp1418481959-25] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-05 00:27:40.267 [qtp1418481959-22] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-05 00:28:52.249 [qtp1418481959-14] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 00:29:07.245 [qtp1418481959-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-05 00:29:07.393 [qtp1418481959-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
